Utterance	Intents
cuando me reconectan mi servicio	l_General, q_Chitchat
necesito instalar el calentador estufa cocina	q_Chitchat, q_Faq
quiero un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
que valor esta el kw	q_Chitchat, q_Faq
quiero hacer una reclamacion.	q_Chitchat, q_Faq
en que fecha se hara mi revision periodica	l_General, q_Chitchat
deseo hacer un abono a mi recibo	l_General, q_Chitchat
quiero pagar solo brilla pero no tengo un cupon	l_General, q_Chitchat
reconexion desde centro de	q_Chitchat, q_Faq
con que dato imprimo mi recibo	l_General, q_Chitchat
porque mi factura me llegó tan alta	l_General, q_Chitchat
no me alcanzo para pagar puedo pagar con otro cupo	q_Chitchat, q_Faq
que debo de hacer para unificar cupo brilla	q_Chitchat, q_Faq
como hago para bloquear mi factura para que no financien	q_Chitchat, q_Faq
solicita tu pago anticipado	l_General, q_Chitchat
necesito saber si una persona trabaja en gases de occidente	l_General, q_Chitchat
donde puedo imprimir mi factura	l_General, q_Chitchat
quiero detallado de las facturas	l_General, q_Chitchat
cuanto cuesta el servicio	q_Chitchat, q_Faq
por que me cobran reconexion si no me han cortado	q_Chitchat, q_Faq
que tiempo se demora la reconexion	q_Chitchat, q_Faq
donde puedo solicitar productos para pagarlos por medio de brilla	q_Chitchat, q_Faq
cuales son los requisitos para un credito brilla	l_General, q_Chitchat
cuanto se demoran en contestar mi derecho de peticion	q_Chitchat, q_Faq
tengo un a persona de quavii, para saber si es de la empresa	l_General, q_Chitchat
requiero la reconexion de mi servicio	l_General, q_Chitchat
costo de certificacion	q_Chitchat, q_Faq
quiero abonar solo a brilla	l_General, q_Chitchat
quiero saber que facturas cancele durante x fechas	l_General, q_Chitchat
como hago reclamo por el servicio de energia	q_Chitchat, q_Faq
cual es el tiempo de espera del servicio	q_Chitchat, q_Faq
hay una persona en mi casa y dice que viene de la empresa	l_General, q_Chitchat
cuanto demora en que me respondan una queja	q_Chitchat, q_Faq
se me daño, requiero la garantia de brilla	q_Chitchat, q_Faq
donde puedo hacer un credito con brilla cuales son las direcciones de los almacenes	q_Chitchat, q_Faq
por aquí puedo imprimir un certificado de pago	l_General, q_Chitchat
no tengo dinero para cancelar el seguro	q_Chitchat, q_Faq
como hago para que no se pueda sacar nada por el recibo	q_Chitchat, q_Faq
que en cuanto tiempo se tiene respuesta de lo solicitado	q_Chitchat, q_Faq
se me perdio mi factura como la puedo imprimir	l_General, q_Chitchat
solicito me expliquen porque se me promedio para la facturación del mes	l_General, q_Chitchat
cuando me vuelven a reconectar el servicio	l_General, q_Chitchat
que ocurre si el titular del credito fallece	q_Chitchat, q_Faq
en cuanto esta el kilovatio en este mes	q_Chitchat, q_Faq
conectar el calentador estufa cocina	q_Chitchat, q_Faq
en este mes en cuanto esta la tarifa	q_Chitchat, q_Faq
financiacion brilla	q_Chitchat, q_Faq
quiero un certificado de mi recibo	l_General, q_Chitchat
valor de la revision periodica	q_Chitchat, q_Faq
soporte de pago del ultimo mes	l_General, q_Chitchat
deseo cancelar solo el gas	l_General, q_Chitchat
si se me daño algo, brilla me cubre	q_Chitchat, q_Faq
a que horas me reconectan el servicio	l_General, q_Chitchat
reconexion residencial	q_Chitchat, q_Faq
en cuanto tiempo los tecnicos atienden mi solicitud	q_Chitchat, q_Faq
catalogo de productos brilla	q_Chitchat, q_Faq
el señor xxx identificado con # si es de la empresa	l_General, q_Chitchat
que puedo financiar con brilla	q_Chitchat, q_Faq
deseo pagar la factura anterior	l_General, q_Chitchat
revision obligatoria	q_Chitchat, q_Faq
quiero saber el historial de mi factura	l_General, q_Chitchat
dejar de pagar poliza de seguro	q_Chitchat, q_Faq
reconexion desde el medidor	l_General, q_Chitchat, q_Faq
